Model,Train Loss,Validation Loss,Train Accuracy,Validation Accuracy
lenet5_model_original,0.24146720034629107,0.28865229891613126,0.9089583158493042,0.8961666822433472
lenet5_model_v1,0.21172514957934618,0.27216319075226786,0.9212708473205566,0.902916669845581
lenet5_model_v2,0.13963332044674703,0.24355081402013698,0.9492499828338623,0.9154999852180481
lenet5_model_v3,0.1401702111819759,0.24618290974448123,0.9472500085830688,0.9190000295639038
lenet5_model_v4,0.11849496780087551,0.21545572095488508,0.9570833444595337,0.9255833625793457
